round,opponent,color,result,opening,attribution,per_game_build_hash_verified,displayed_rating_after_round,evidence_level,public_game_url
26,ASD,black,loss,Scotch Game,v0_provisional,False,1429,preserved_inventory_plus_public_result,https://aichessathon.com/game/5a4a3ea7-007e-4ea7-bac9-28e7aaf3fe4e
27,What the fork,black,loss,Sicilian Closed,v0_provisional,False,1328,preserved_inventory_plus_public_result,https://aichessathon.com/game/91676cb0-661f-462b-9aa8-617f8a094254
28,Stock-ish,white,loss,French Advance,v0_provisional,False,1279,preserved_inventory_plus_public_result,https://aichessathon.com/game/03d0e9d0-cfb5-42c6-865a-fb7486e4c276
29,Sun,white,win,London System,v0_provisional,False,1305,preserved_inventory_plus_public_result,https://aichessathon.com/game/47d1c125-d3d2-47de-8972-b8c8ec109db9
30,Stockfish,black,void,London System,v0_provisional,False,1298,preserved_inventory_plus_public_result,https://aichessathon.com/game/a4c0e061-3097-4c7c-871d-058d5c679857
31,Buddy's Grill Gambit,white,win,Petroff Defence,v0_provisional,False,1347,preserved_inventory_plus_public_result,https://aichessathon.com/game/47e1c2f1-5f7c-442c-97d8-c6ee67a12e00
32,404 Not Found,black,loss,Dutch Stonewall,v0_provisional,False,1296,preserved_inventory_plus_public_result,https://aichessathon.com/game/c895c2a4-4876-48d7-8453-d38f446877a2
33,The Rook,white,win,Caro-Kann Classical,v0_provisional,False,1341,preserved_inventory_plus_public_result,https://aichessathon.com/game/6adc2b99-2e8b-4465-997d-1ede6d80c6ed
34,Snake,black,loss,English Symmetrical,v0_provisional,False,1312,preserved_inventory_plus_public_result,https://aichessathon.com/game/c84fb347-e0f6-4650-a44f-69276c7dbf56
35,meow,white,draw,Slav Defence,v0_provisional,False,1302,preserved_inventory_plus_public_result,https://aichessathon.com/game/6b9bc0fa-3938-4d99-bd4b-0448cdcfcda3
36,Stockfish,black,win,Caro-Kann Exchange,v2_reported,False,1372,preserved_inventory_plus_public_result,https://aichessathon.com/game/585c1878-6ee2-41c0-9f63-0357e94fcf83
37,Stocked Fish,white,win,Sicilian Taimanov,v2_reported,False,1431,preserved_inventory_plus_public_result,https://aichessathon.com/game/16112bc6-be15-4117-87bf-68f9417b450f
38,How does the knight move?,white,loss,Scotch Game,v2_reported,False,1372,preserved_inventory_plus_public_result,https://aichessathon.com/game/dacc305d-8e38-47c0-95a7-84d35fa6579c
39,The Smart Guy(s),black,win,English Symmetrical,v2_reported,False,1422,preserved_inventory_plus_public_result,https://aichessathon.com/game/0ca55ebd-a26d-400a-a878-0f9dc853b76d
40,SAC,black,loss,Sicilian Najdorf,v2_reported,False,1381,preserved_inventory_plus_public_result,https://aichessathon.com/game/8a74e4bf-18dd-406c-a630-482aa7bbddc2
41,dhav,black,loss,Sicilian Closed,v2_reported,False,1340,preserved_inventory_plus_public_result,https://aichessathon.com/game/7c7200d9-0acf-4c12-95ed-1be3c262b5d8
